var,Short name,=
BAFF-R+ IgMlow IgD+ Naive B Cells :in: IgMlow IgD+ Naive B Cells,% BAFF-R+ of IgMlow IgD+ Naive B Cells,
CD11c+ CD27- CD4+ T Cells :in: CD27- CD4+ T Cells,% CD11c+ in CD27- CD4+ T Cells,
CD11c+ CD27+ CD8+ T Cells :in: CD27+ CD8+ T Cells,% CD11c+ of CD27+ CD8+ T Cells,
CD11c+ Non-Classical Monocytes :in: Non-Classical Monocytes,% CD11c+ of Non-Classical Monocytes,
CD16- CD56dim NK Cells :in: NK Cells,% CD16- CD56dim of NK Cells,
CD16- NK Cells :in: NK Cells,% CD16- of NK Cells,
CD16+ CD56dim NK Cells :in: NK Cells,% CD16+ CD56dim of NK Cells,
CD16+ NK Cells :in: NK Cells,% CD16+ of NK Cells,
CD27- CD4+ T Cells :in: CD4+ T Cells,% CD27- of CD4+ T Cells,
CD27+ CD16- CD56bright NK Cells :in: CD16- CD56bright NK Cells,% CD27+ of CD16- CD56bright NK Cells,
CD27+ CD16+ NK Cells :in: CD16+ NK Cells,% CD27+ of CD16+ NK Cells,
CD27+ CD4+ T Cells :in: CD4+ T Cells,% CD27+ of CD4+ T Cells,
CD27+ Double Negative T Cells :in: Double Negative T Cells,% CD27+ of DN T Cells,
CD27+ NK Cells :in: NK Cells,% CD27+ of NK Cells,
CD27+ NKT Cells :in: NKT Cells,% CD27+ of NKT Cells,
CD38+ NK Cells :in: NK Cells,% CD38+ NK Cells of NK Cells,
CD38+ CD27+ CD8+ T Cells :in: CD27+ CD8+ T Cells,% CD38+ of CD27+ CD8+ T Cells,
CD38+ CD4+ T Cells :in: CD4+ T Cells,% CD38+ of CD4+ T Cells,
CD38+ Monocytes :in: Monocytes,% CD38+ of Monocytes,
CD38+ Myeloid Dendritic Cells :in: Myeloid Dendritic Cells,% CD38+ of Myeloid Dendritic Cells,
CD38+ Type 2 Myeloid Dendritic Cells :in: mDC2,% CD38+ Type 2 Myeloid Dendritic of mDC2,
CD40+ B Cells :in: B Cells,% CD40+ B Cells of B Cells,
